tm,DVm,PVm
1.050000000000000000e+02,1.000000000000000000e+00,1.047500000000001208e-01
1.060000000000000000e+02,1.000000000000000000e+00,1.047500000000001208e-01
1.070000000000000000e+02,1.000000000000000000e+00,1.112499999999998906e-01
1.080000000000000000e+02,1.000000000000000000e+00,1.080000000000000127e-01
1.090000000000000000e+02,1.000000000000000000e+00,1.127499999999999475e-01
1.100000000000000000e+02,1.000000000000000000e+00,1.127499999999999475e-01
1.110000000000000000e+02,1.000000000000000000e+00,1.127499999999999475e-01
1.120000000000000000e+02,1.000000000000000000e+00,1.127499999999999475e-01
1.130000000000000000e+02,1.000000000000000000e+00,1.192500000000000782e-01
1.140000000000000000e+02,1.000000000000000000e+00,1.207500000000001350e-01
1.150000000000000000e+02,1.000000000000000000e+00,1.207500000000001350e-01
1.160000000000000000e+02,1.000000000000000000e+00,1.207500000000001350e-01
1.170000000000000000e+02,1.000000000000000000e+00,1.207500000000001350e-01
1.180000000000000000e+02,1.000000000000000000e+00,1.247500000000000553e-01
1.190000000000000000e+02,1.000000000000000000e+00,1.290000000000000868e-01
1.200000000000000000e+02,1.000000000000000000e+00,1.290000000000000868e-01
1.210000000000000000e+02,1.000000000000000000e+00,1.320000000000002005e-01
1.220000000000000000e+02,1.000000000000000000e+00,1.369999999999999274e-01
1.230000000000000000e+02,1.000000000000000000e+00,1.369999999999999274e-01
1.240000000000000000e+02,1.000000000000000000e+00,1.369999999999999274e-01
1.250000000000000000e+02,1.000000000000000000e+00,1.410000000000001807e-01
1.260000000000000000e+02,1.000000000000000000e+00,1.424999999999999045e-01
1.270000000000000000e+02,1.000000000000000000e+00,1.450000000000001010e-01
1.280000000000000000e+02,1.000000000000000000e+00,1.450000000000001010e-01
1.290000000000000000e+02,1.000000000000000000e+00,1.450000000000001010e-01
1.300000000000000000e+02,1.000000000000000000e+00,1.457500000000001295e-01
1.310000000000000000e+02,1.000000000000000000e+00,1.497500000000000497e-01
1.320000000000000000e+02,1.000000000000000000e+00,1.529999999999999416e-01
1.330000000000000000e+02,1.000000000000000000e+00,1.529999999999999416e-01
1.340000000000000000e+02,1.000000000000000000e+00,1.529999999999999416e-01
1.350000000000000000e+02,1.000000000000000000e+00,1.555000000000001381e-01
1.360000000000000000e+02,1.000000000000000000e+00,1.602500000000000868e-01
1.370000000000000000e+02,1.000000000000000000e+00,1.602500000000000868e-01
1.380000000000000000e+02,1.000000000000000000e+00,1.612499999999998934e-01
1.390000000000000000e+02,1.000000000000000000e+00,1.587500000000000300e-01
1.400000000000000000e+02,1.000000000000000000e+00,1.602500000000000868e-01
1.410000000000000000e+02,1.000000000000000000e+00,1.612499999999998934e-01
1.420000000000000000e+02,1.000000000000000000e+00,1.595000000000000584e-01
1.430000000000000000e+02,1.000000000000000000e+00,1.612499999999998934e-01
1.440000000000000000e+02,1.000000000000000000e+00,1.612499999999998934e-01
1.450000000000000000e+02,1.000000000000000000e+00,1.627499999999999503e-01
1.460000000000000000e+02,1.000000000000000000e+00,1.652500000000001745e-01
1.470000000000000000e+02,1.000000000000000000e+00,1.674999999999998990e-01
1.480000000000000000e+02,1.000000000000000000e+00,1.667500000000002314e-01
1.490000000000000000e+02,1.000000000000000000e+00,1.692500000000000671e-01
1.500000000000000000e+02,1.000000000000000000e+00,1.692500000000000671e-01
1.510000000000000000e+02,1.000000000000000000e+00,1.692500000000000671e-01
1.520000000000000000e+02,1.000000000000000000e+00,1.692500000000000671e-01
1.530000000000000000e+02,1.000000000000000000e+00,1.715000000000001523e-01
1.540000000000000000e+02,1.000000000000000000e+00,1.740000000000000158e-01
1.550000000000000000e+02,1.000000000000000000e+00,1.772499999999999076e-01
1.560000000000000000e+02,1.000000000000000000e+00,1.772499999999999076e-01
