tm,MVm,PVm
3.000000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
3.010000000000000000e+02,1.000000000000000000e+00,3.889999999999995128e-01
3.020000000000000000e+02,1.000000000000000000e+00,3.827499999999998681e-01
3.030000000000000000e+02,1.000000000000000000e+00,3.827499999999998681e-01
3.040000000000000000e+02,1.000000000000000000e+00,3.827499999999998681e-01
3.050000000000000000e+02,1.000000000000000000e+00,3.827499999999998681e-01
3.060000000000000000e+02,1.000000000000000000e+00,3.827499999999998681e-01
3.070000000000000000e+02,1.000000000000000000e+00,3.842499999999999249e-01
3.080000000000000000e+02,1.000000000000000000e+00,3.860000000000001208e-01
3.090000000000000000e+02,1.000000000000000000e+00,3.842499999999999249e-01
3.100000000000000000e+02,1.000000000000000000e+00,3.889999999999995128e-01
3.110000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
3.120000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
3.130000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
3.140000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
3.150000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
3.160000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
3.170000000000000000e+02,1.000000000000000000e+00,3.875000000000001776e-01
3.180000000000000000e+02,1.000000000000000000e+00,3.834999999999998965e-01
3.190000000000000000e+02,1.000000000000000000e+00,3.860000000000001208e-01
3.200000000000000000e+02,1.000000000000000000e+00,3.900000000000000133e-01
3.210000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
3.220000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
3.230000000000000000e+02,1.000000000000000000e+00,3.907500000000000417e-01
3.240000000000000000e+02,1.000000000000000000e+00,3.947499999999996012e-01
3.250000000000000000e+02,1.000000000000000000e+00,3.987499999999995492e-01
3.260000000000000000e+02,1.000000000000000000e+00,3.987499999999995492e-01
3.270000000000000000e+02,1.000000000000000000e+00,4.005000000000000782e-01
3.280000000000000000e+02,1.000000000000000000e+00,4.060000000000000275e-01
3.290000000000000000e+02,1.000000000000000000e+00,4.067500000000000560e-01
3.300000000000000000e+02,1.000000000000000000e+00,4.067500000000000560e-01
3.310000000000000000e+02,1.000000000000000000e+00,4.067500000000000560e-01
3.320000000000000000e+02,1.000000000000000000e+00,4.077499999999995017e-01
3.330000000000000000e+02,1.000000000000000000e+00,4.150000000000000355e-01
3.340000000000000000e+02,1.000000000000000000e+00,4.150000000000000355e-01
3.350000000000000000e+02,1.000000000000000000e+00,4.139999999999995350e-01
3.360000000000000000e+02,1.000000000000000000e+00,4.157500000000000639e-01
3.370000000000000000e+02,1.000000000000000000e+00,4.222500000000001807e-01
3.380000000000000000e+02,1.000000000000000000e+00,4.230000000000002092e-01
3.390000000000000000e+02,1.000000000000000000e+00,4.237499999999995159e-01
3.400000000000000000e+02,1.000000000000000000e+00,4.302500000000000213e-01
3.410000000000000000e+02,1.000000000000000000e+00,4.310000000000000497e-01
3.420000000000000000e+02,1.000000000000000000e+00,4.310000000000000497e-01
